,Max Depth,Theta,F1
0,3,1,0.259
1,3,2,0.259
2,3,3,0.259
3,3,4,0.259
4,3,5,0.259
5,3,6,0.259
6,3,7,0.259
7,3,8,0.259
8,3,9,0.259
9,3,10,0.259
10,4,1,0.259
11,4,2,0.259
12,4,3,0.259
13,4,4,0.259
14,4,5,0.259
15,4,6,0.259
16,4,7,0.259
17,4,8,0.259
18,4,9,0.259
19,4,10,0.259
20,5,1,0.259
21,5,2,0.259
22,5,3,0.259
23,5,4,0.259
24,5,5,0.259
25,5,6,0.259
26,5,7,0.259
27,5,8,0.259
28,5,9,0.259
29,5,10,0.259
30,6,1,0.259
31,6,2,0.259
32,6,3,0.259
33,6,4,0.259
34,6,5,0.259
35,6,6,0.259
36,6,7,0.259
37,6,8,0.259
38,6,9,0.259
39,6,10,0.259
40,7,1,0.259
41,7,2,0.259
42,7,3,0.259
43,7,4,0.259
44,7,5,0.259
45,7,6,0.259
46,7,7,0.259
47,7,8,0.259
48,7,9,0.259
49,7,10,0.259
50,8,1,0.259
51,8,2,0.259
52,8,3,0.259
53,8,4,0.259
54,8,5,0.259
55,8,6,0.259
56,8,7,0.259
57,8,8,0.259
58,8,9,0.259
59,8,10,0.259
60,9,1,0.259
61,9,2,0.259
62,9,3,0.259
63,9,4,0.259
64,9,5,0.259
65,9,6,0.259
66,9,7,0.259
67,9,8,0.259
68,9,9,0.259
69,9,10,0.259
