,Max Depth,Theta,MSE
0,3,1,2.054
1,3,2,2.054
2,3,3,2.054
3,3,4,2.054
4,3,5,2.054
5,3,6,2.054
6,3,7,2.054
7,3,8,2.054
8,3,9,2.054
9,3,10,2.054
10,4,1,2.054
11,4,2,2.054
12,4,3,2.054
13,4,4,2.054
14,4,5,2.054
15,4,6,2.054
16,4,7,2.054
17,4,8,2.054
18,4,9,2.054
19,4,10,2.054
20,5,1,2.054
21,5,2,2.054
22,5,3,2.054
23,5,4,2.054
24,5,5,2.054
25,5,6,2.054
26,5,7,2.054
27,5,8,2.054
28,5,9,2.054
29,5,10,2.054
30,6,1,2.054
31,6,2,2.054
32,6,3,2.054
33,6,4,2.054
34,6,5,2.054
35,6,6,2.054
36,6,7,2.054
37,6,8,2.054
38,6,9,2.054
39,6,10,2.054
40,7,1,2.054
41,7,2,2.054
42,7,3,2.054
43,7,4,2.054
44,7,5,2.054
45,7,6,2.054
46,7,7,2.054
47,7,8,2.054
48,7,9,2.054
49,7,10,2.054
50,8,1,2.054
51,8,2,2.054
52,8,3,2.054
53,8,4,2.054
54,8,5,2.054
55,8,6,2.054
56,8,7,2.054
57,8,8,2.054
58,8,9,2.054
59,8,10,2.054
60,9,1,2.054
61,9,2,2.054
62,9,3,2.054
63,9,4,2.054
64,9,5,2.054
65,9,6,2.054
66,9,7,2.054
67,9,8,2.054
68,9,9,2.054
69,9,10,2.054
